matl,plane,cutoff,nPerMm3,mu,s
se508,xy,8.0,7474.74032959797,2.8364003809850136,1.3627437869241243
se508,yz,8.0,7474.74032959797,3.586776158789869,1.9563103567779756
se508,xz,8.0,7474.74032959797,3.5506638534367085,1.8617354664951562
eli,xy,8.0,340.07625230342967,1.768962044403796,0.4022094494091336
eli,yz,8.0,340.07625230342967,2.056096369918799,0.39809177698033726
eli,xz,8.0,340.07625230342967,2.26701914094453,0.45063815728806467
