 	Label	Volume	SurfaceArea	Sphericity	EulerNumber	Elli.Center.X	Elli.Center.Y	Elli.Center.Z	Elli.R1	Elli.R2	Elli.R3	Elli.Azim	Elli.Elev	Elli.Roll	Elli.R1/R2	Elli.R1/R3	Elli.R2/R3	InscrBall.Center.X	InscrBall.Center.Y	InscrBall.Center.Z	InscrBall.Radius
2412	2412	0.126	0.754	4.172	1.000	388.004	254.244	608.432	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	387.754	253.994	608.182	0.501
2413	2413	0.126	0.754	4.172	1.000	335.903	378.486	608.432	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	335.652	378.235	608.182	0.501
2414	2414	10.059	28.325	0.503	1.500	661.398	446.493	610.756	3.380	1.145	0.862	79.319	42.303	-85.955	2.953	3.921	1.328	661.285	446.368	609.685	0.835
2415	2415	7.670	21.864	0.636	1.500	239.297	365.501	609.599	1.839	1.283	0.973	22.636	-3.524	-22.753	1.434	1.891	1.319	238.964	365.210	609.184	0.835
2416	2416	0.377	2.026	1.936	1.000	621.124	135.179	609.434	0.647	0.373	0.000	-45.000	-0.000	0.000	1.732	Infinity	Infinity	620.706	134.762	609.184	0.501
2417	2417	4.149	16.479	0.435	1.500	661.627	435.824	612.273	3.049	0.758	0.580	65.497	39.211	-77.109	4.025	5.257	1.306	661.786	436.849	610.186	0.501
2418	2418	0.629	3.059	1.561	1.000	443.312	249.936	611.037	0.661	0.501	0.340	45.000	36.093	-5.346E-12	1.319	1.946	1.475	442.861	249.485	610.687	0.501
2419	2419	0.880	4.238	1.151	1.000	290.744	438.602	611.510	0.928	0.649	0.316	-74.755	-25.007	-94.506	1.429	2.940	2.057	290.565	438.352	610.687	0.501
2420	2420	1.383	6.429	0.814	1.000	352.389	578.875	612.304	1.455	0.718	2.542E-13	4.152E-24	65.663	90.000	2.026	5.725E12	2.826E12	352.184	578.625	611.188	0.501
2421	2421	0.126	0.754	4.172	1.000	358.948	579.376	611.438	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	358.697	579.126	611.188	0.501
2422	2422	3.395	11.211	0.925	1.000	300.723	346.850	612.551	1.031	1.007	0.864	-36.437	48.896	-103.463	1.024	1.192	1.165	300.083	346.674	612.190	0.668
2423	2423	1.760	7.536	0.819	1.000	352.399	577.157	612.762	1.380	0.767	0.397	57.079	74.912	-41.383	1.800	3.480	1.933	351.683	577.122	611.689	0.501
2424	2424	0.126	0.754	4.172	1.000	351.433	577.372	613.442	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	351.183	577.122	613.192	0.501
2425	2425	9.933	27.914	0.513	1.000	390.985	580.181	616.251	3.101	1.156	0.689	0.681	-72.980	97.047	2.683	4.504	1.679	390.759	580.127	615.196	0.668
2426	2426	1.132	5.142	1.065	1.000	573.810	579.877	614.110	0.925	0.619	0.528	180.000	-78.401	-90.000	1.493	1.752	1.173	573.615	579.627	613.693	0.668
2427	2427	0.126	0.754	4.172	1.000	419.565	256.248	613.943	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	419.315	255.998	613.693	0.501
2428	2428	0.251	1.416	2.519	1.000	614.444	321.876	614.695	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	614.194	321.625	614.194	0.501
2429	2429	1.006	4.662	1.129	1.000	204.272	518.821	614.882	0.911	0.676	0.405	-71.799	0.976	-81.400	1.347	2.249	1.670	203.896	518.508	614.194	0.501
2430	2430	0.377	2.026	1.936	1.000	242.221	373.810	615.279	0.647	0.373	0.000	90.000	35.264	-90.000	1.732	Infinity	Infinity	241.970	373.726	614.695	0.501
2431	2431	0.754	3.762	1.209	1.000	148.121	113.471	616.448	1.073	0.528	0.000	0.000	-53.130	90.000	2.031	Infinity	Infinity	147.286	113.220	615.697	0.501
2432	2432	0.126	0.754	4.172	1.000	312.357	577.372	615.947	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	312.107	577.122	615.697	0.501
2433	2433	0.503	2.594	1.638	1.000	460.896	581.004	616.072	0.732	0.396	0.303	-35.264	-26.565	125.264	1.848	2.414	1.307	460.395	580.628	615.697	0.501
2434	2434	0.629	3.059	1.561	1.000	459.944	581.079	616.849	0.661	0.501	0.340	-45.000	36.093	-180.000	1.319	1.946	1.475	459.894	580.628	616.197	0.501
