 	Label	Volume	SurfaceArea	Sphericity	EulerNumber	Elli.Center.X	Elli.Center.Y	Elli.Center.Z	Elli.R1	Elli.R2	Elli.R3	Elli.Azim	Elli.Elev	Elli.Roll	Elli.R1/R2	Elli.R1/R3	Elli.R2/R3	InscrBall.Center.X	InscrBall.Center.Y	InscrBall.Center.Z	InscrBall.Radius
60	60	10.813	19.396	1.812	0.000	333.672	321.730	0.821	1.896	1.538	1.003	13.422	-2.195	25.429	1.233	1.891	1.533	333.147	321.124	0.000	1.169
61	61	1706.933	915.029	0.430	5.000	213.151	334.213	7.264	11.559	7.060	6.461	2.167	43.888	-9.721	1.637	1.789	1.093	213.916	334.650	0.000	5.344
62	62	0.503	1.835	4.629	0.500	220.929	325.382	0.501	0.560	0.560	0.000	-180.000	0.000	90.000	1.000	Infinity	Infinity	220.428	325.132	0.000	0.501
63	63	0.126	0.377	33.374	0.500	365.961	336.404	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	365.711	336.153	0.000	0.501
64	64	5.532	16.258	0.806	0.500	374.706	348.165	1.537	1.979	0.989	0.810	-60.385	43.335	79.369	2.001	2.443	1.221	374.728	347.676	1.002	0.668
65	65	1.635	3.974	4.816	0.500	457.408	347.849	0.405	1.066	0.738	0.469	9.345	-10.930	-12.143	1.445	2.274	1.574	456.888	347.676	0.000	0.668
66	66	0.126	0.377	33.374	0.500	558.335	349.930	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	558.085	349.680	0.000	0.501
67	67	0.126	0.377	33.374	0.500	297.829	350.431	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	297.578	350.181	0.000	0.501
68	68	0.126	0.377	33.374	0.500	558.335	351.934	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	558.085	351.683	0.000	0.501
69	69	980.707	693.054	0.327	2.500	440.313	358.911	16.484	15.459	4.668	3.918	-72.356	-45.947	91.882	3.312	3.946	1.191	439.855	359.198	16.532	3.507
70	70	84.492	102.846	0.742	0.500	121.328	360.319	2.850	3.942	2.982	1.984	1.903	-77.588	87.543	1.322	1.987	1.503	120.234	360.200	2.505	1.670
71	71	0.754	3.292	1.804	0.500	427.998	358.697	0.918	0.913	0.485	0.341	58.250	42.956	98.748	1.881	2.673	1.422	427.831	358.697	0.000	0.501
72	72	4.526	9.782	2.476	0.500	503.158	377.456	0.821	1.211	1.051	0.928	46.392	-43.476	62.286	1.151	1.304	1.132	502.978	377.233	0.000	1.002
73	73	8.298	15.962	1.915	0.500	213.278	401.720	0.979	1.638	1.230	1.094	-36.649	32.117	55.319	1.332	1.497	1.124	213.415	401.280	0.000	1.169
74	74	1.132	2.868	6.141	0.500	422.015	402.198	0.306	1.119	0.752	0.322	-7.607	-0.156	-167.956	1.488	3.472	2.333	422.321	401.280	0.000	0.501
75	75	391.654	421.403	0.232	-0.500	76.361	414.572	13.210	14.181	3.204	2.547	-31.525	-44.885	144.569	4.427	5.567	1.258	76.148	413.804	12.524	2.338
76	76	0.126	0.377	33.374	0.500	625.466	413.053	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	625.215	412.802	0.000	0.501
77	77	0.126	0.377	33.374	0.500	397.022	413.554	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	396.771	413.303	0.000	0.501
78	78	0.126	0.377	33.374	0.500	75.898	420.066	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	75.647	419.816	0.000	0.501
79	79	0.377	1.649	3.592	0.500	320.540	420.066	0.584	0.647	0.373	0.000	0.000	-45.000	90.000	1.732	Infinity	Infinity	320.122	419.816	0.000	0.501
80	80	1.006	2.795	5.238	0.500	418.313	427.706	0.438	0.801	0.560	0.449	-61.910	12.445	-123.531	1.430	1.786	1.249	418.313	426.830	0.000	0.501
81	81	0.754	2.212	5.946	0.500	260.506	443.779	0.417	0.647	0.560	0.373	0.000	90.000	90.000	1.155	1.732	1.500	260.005	443.362	0.000	0.501
82	82	0.126	0.377	33.374	0.500	279.293	448.622	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	279.042	448.371	0.000	0.501
83	83	0.377	1.649	3.592	0.500	279.794	448.956	0.584	0.647	0.373	0.000	90.000	35.264	-90.000	1.732	Infinity	Infinity	279.543	448.872	0.000	0.501
84	84	0.126	0.377	33.374	0.500	445.115	455.636	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	444.865	455.385	0.000	0.501
85	85	5.909	12.755	1.903	0.500	447.204	456.659	0.975	1.365	1.179	0.958	36.062	60.838	-61.833	1.158	1.424	1.230	446.868	456.387	0.000	1.002
86	86	3.018	8.553	1.646	0.500	362.267	470.790	0.981	1.378	0.799	0.706	-84.399	42.335	91.613	1.725	1.951	1.131	362.204	470.414	0.501	0.668
87	87	6.035	12.624	2.048	1.000	563.115	527.504	0.762	1.489	1.177	0.928	-64.342	-43.690	174.565	1.266	1.604	1.268	562.593	527.525	0.000	1.169
88	88	21.374	35.267	1.178	1.500	400.546	539.722	1.090	2.564	1.633	1.460	45.145	0.884	-17.361	1.570	1.757	1.119	399.777	539.549	0.000	1.336
89	89	103.980	102.557	1.134	1.000	333.019	563.888	2.701	3.756	2.830	2.551	26.007	44.008	-39.038	1.327	1.472	1.110	333.147	563.595	0.000	2.338
90	90	0.503	2.635	1.563	1.000	287.809	146.785	0.751	0.906	0.346	0.000	-31.717	-0.000	0.000	2.618	Infinity	Infinity	287.559	146.284	0.501	0.501
91	91	0.126	0.754	4.172	1.000	286.807	147.537	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	286.557	147.286	0.501	0.501
92	92	0.126	0.754	4.172	1.000	381.491	148.038	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	381.241	147.787	0.501	0.501
93	93	0.126	0.754	4.172	1.000	474.673	234.205	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	474.422	233.955	0.501	0.501
94	94	0.126	0.754	4.172	1.000	263.763	241.720	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	263.512	241.469	0.501	0.501
95	95	0.126	0.754	4.172	1.000	589.896	248.733	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	589.646	248.483	0.501	0.501
96	96	0.377	2.026	1.936	1.000	590.397	249.401	1.085	0.647	0.373	0.000	90.000	-35.264	-90.000	1.732	Infinity	Infinity	590.147	248.984	0.501	0.501
97	97	0.754	3.576	1.408	1.000	508.488	250.487	1.252	0.845	0.457	0.350	45.000	45.000	-2.046E-14	1.848	2.414	1.307	508.488	250.487	0.501	0.501
98	98	0.126	0.754	4.172	1.000	420.567	269.774	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	420.317	269.524	0.501	0.501
99	99	0.126	0.754	4.172	1.000	220.178	276.788	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	219.927	276.537	0.501	0.501
100	100	0.126	0.754	4.172	1.000	144.030	277.289	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	143.779	277.038	0.501	0.501
101	101	0.126	0.754	4.172	1.000	157.556	282.299	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	157.306	282.048	0.501	0.501
102	102	0.126	0.754	4.172	1.000	330.893	284.804	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	330.643	284.553	0.501	0.501
103	103	0.251	1.416	2.519	1.000	409.546	293.571	0.751	0.560	0.000	0.000	0.000	0.000	-0.000	Infinity	Infinity	NaN	409.295	293.070	0.501	0.501
104	104	0.377	2.078	1.793	1.000	209.657	330.392	1.252	0.915	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	209.407	330.142	0.501	0.501
105	105	0.126	0.754	4.172	1.000	366.462	336.905	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	366.212	336.654	0.501	0.501
106	106	0.126	0.754	4.172	1.000	211.661	341.414	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	211.411	341.163	0.501	0.501
107	107	0.126	0.754	4.172	1.000	282.299	428.082	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	282.048	427.831	0.501	0.501
108	108	0.126	0.754	4.172	1.000	302.338	433.593	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	302.087	433.342	0.501	0.501
109	109	0.629	3.163	1.413	1.000	286.507	147.036	1.553	0.926	0.383	0.317	-54.736	-30.000	-144.736	2.414	2.922	1.210	286.056	146.785	1.002	0.501
110	110	0.251	1.416	2.519	1.000	516.754	222.182	1.503	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	516.504	221.931	1.002	0.501
111	111	0.126	0.754	4.172	1.000	471.667	229.696	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	471.416	229.446	1.002	0.501
112	112	0.126	0.754	4.172	1.000	402.031	245.728	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	401.781	245.477	1.002	0.501
113	113	0.126	0.754	4.172	1.000	144.030	276.788	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	143.779	276.537	1.002	0.501
114	114	0.126	0.754	4.172	1.000	330.893	285.304	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	330.643	285.054	1.002	0.501
115	115	0.126	0.754	4.172	1.000	409.546	294.322	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	409.295	294.072	1.002	0.501
116	116	0.126	0.754	4.172	1.000	571.861	304.341	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	571.611	304.091	1.002	0.501
117	117	0.251	1.416	2.519	1.000	122.989	311.355	1.503	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	122.739	311.105	1.002	0.501
118	118	0.126	0.754	4.172	1.000	572.362	322.377	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	572.112	322.126	1.002	0.501
119	119	0.126	0.754	4.172	1.000	206.652	334.400	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	206.401	334.149	1.002	0.501
120	120	0.251	1.416	2.519	1.000	297.328	350.431	1.503	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	297.077	350.181	1.002	0.501
121	121	0.126	0.754	4.172	1.000	290.815	398.525	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	290.565	398.274	1.002	0.501
122	122	0.754	3.628	1.348	1.000	422.154	401.781	1.336	0.792	0.590	0.323	-18.435	-2.135E-12	147.688	1.342	2.449	1.826	421.820	401.280	1.002	0.501
123	123	0.126	0.754	4.172	1.000	446.117	455.636	1.252	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	445.867	455.385	1.002	0.501
124	124	0.126	0.754	4.172	1.000	293.821	136.014	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	293.571	135.764	1.503	0.501
125	125	1.132	5.126	1.075	1.000	294.155	136.849	2.421	1.074	0.647	0.318	45.000	-54.233	6.005E-12	1.661	3.378	2.034	294.072	136.265	1.503	0.501
126	126	0.126	0.754	4.172	1.000	295.324	145.032	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	295.073	144.781	1.503	0.501
127	127	0.251	1.416	2.519	1.000	437.350	178.096	1.753	0.560	0.000	0.000	-180.000	0.000	0.000	Infinity	Infinity	NaN	436.849	177.846	1.503	0.501
128	128	0.251	1.416	2.519	1.000	326.885	232.702	2.004	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	326.635	232.452	1.503	0.501
129	129	0.126	0.754	4.172	1.000	472.669	232.702	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	472.418	232.452	1.503	0.501
130	130	0.126	0.754	4.172	1.000	473.671	234.706	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	473.420	234.456	1.503	0.501
131	131	0.126	0.754	4.172	1.000	74.896	242.722	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	74.645	242.471	1.503	0.501
132	132	0.126	0.754	4.172	1.000	401.029	244.726	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	400.779	244.475	1.503	0.501
133	133	0.126	0.754	4.172	1.000	401.530	245.227	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	401.280	244.976	1.503	0.501
134	134	0.251	1.416	2.519	1.000	72.391	273.281	2.004	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	72.140	273.031	1.503	0.501
135	135	0.126	0.754	4.172	1.000	331.394	285.304	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	331.144	285.054	1.503	0.501
136	136	0.251	1.416	2.519	1.000	332.396	322.878	2.004	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	332.146	322.627	1.503	0.501
137	137	0.251	1.416	2.519	1.000	213.164	324.881	2.004	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	212.914	324.631	1.503	0.501
138	138	0.126	0.754	4.172	1.000	207.654	333.899	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	207.403	333.648	1.503	0.501
139	139	0.126	0.754	4.172	1.000	389.006	334.400	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	388.756	334.149	1.503	0.501
140	140	0.126	0.754	4.172	1.000	333.899	567.353	1.753	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	333.648	567.102	1.503	0.501
141	141	0.126	0.754	4.172	1.000	274.283	147.036	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	274.033	146.785	2.004	0.501
142	142	0.126	0.754	4.172	1.000	297.328	152.046	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	297.077	151.795	2.004	0.501
143	143	0.126	0.754	4.172	1.000	288.811	154.049	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	288.561	153.799	2.004	0.501
144	144	0.880	4.187	1.194	1.000	516.182	224.901	2.684	0.957	0.559	0.322	35.291	-45.038	51.748	1.713	2.973	1.736	515.502	224.436	2.004	0.501
145	145	0.126	0.754	4.172	1.000	471.166	231.700	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	470.915	231.450	2.004	0.501
146	146	0.126	0.754	4.172	1.000	602.922	243.223	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	602.671	242.972	2.004	0.501
147	147	0.126	0.754	4.172	1.000	330.893	285.304	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	330.643	285.054	2.004	0.501
148	148	0.126	0.754	4.172	1.000	553.325	288.310	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	553.075	288.060	2.004	0.501
149	149	1.760	7.430	0.854	1.000	206.723	296.111	2.970	1.450	0.655	0.456	68.224	-69.671	27.604	2.214	3.180	1.436	206.401	295.073	2.004	0.501
150	150	1.257	5.963	0.843	1.000	506.134	300.384	3.206	1.604	0.518	0.310	-8.866	62.060	-87.847	3.094	5.172	1.671	505.983	300.083	2.004	0.501
151	151	0.126	0.754	4.172	1.000	333.398	321.876	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	333.147	321.625	2.004	0.501
152	152	0.251	1.416	2.519	1.000	333.398	322.878	2.505	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	333.147	322.627	2.004	0.501
153	153	0.251	1.416	2.519	1.000	209.657	330.893	2.505	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	209.407	330.643	2.004	0.501
154	154	0.126	0.754	4.172	1.000	207.153	334.400	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	206.902	334.149	2.004	0.501
155	155	0.126	0.754	4.172	1.000	207.153	337.907	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	206.902	337.656	2.004	0.501
156	156	0.126	0.754	4.172	1.000	297.328	350.932	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	297.077	350.682	2.004	0.501
157	157	0.126	0.754	4.172	1.000	438.602	361.953	2.254	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	438.352	361.703	2.004	0.501
158	158	0.126	0.754	4.172	1.000	295.825	144.030	2.755	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	295.574	143.779	2.505	0.501
159	159	0.126	0.754	4.172	1.000	295.825	145.032	2.755	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	295.574	144.781	2.505	0.501
