 	Label	Volume	SurfaceArea	Sphericity	EulerNumber	Elli.Center.X	Elli.Center.Y	Elli.Center.Z	Elli.R1	Elli.R2	Elli.R3	Elli.Azim	Elli.Elev	Elli.Roll	Elli.R1/R2	Elli.R1/R3	Elli.R2/R3	InscrBall.Center.X	InscrBall.Center.Y	InscrBall.Center.Z	InscrBall.Radius
1	1	92.161	85.048	1.562	0.500	190.571	132.100	1.398	4.370	3.051	2.042	37.087	-1.077	21.524	1.432	2.140	1.494	189.368	131.255	0.000	2.672
2	2	0.126	0.377	33.374	0.500	502.727	136.515	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	502.477	136.265	0.000	0.501
3	3	0.126	0.377	33.374	0.500	293.320	141.024	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	293.070	140.774	0.000	0.501
4	4	0.251	1.039	6.376	0.500	293.821	141.525	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	293.571	141.275	0.000	0.501
5	5	3139.267	1791.218	0.194	-13.500	292.832	148.835	18.134	23.093	7.119	5.326	-71.669	-46.220	89.193	3.244	4.336	1.337	292.569	149.791	8.016	4.843
6	6	18.105	28.059	1.678	1.000	382.646	145.126	0.724	3.503	1.494	0.952	-74.752	-3.918	-175.300	2.345	3.678	1.568	382.744	143.779	0.000	1.336
7	7	0.503	1.570	7.395	0.500	553.200	144.406	0.376	0.560	0.560	0.280	-45.000	7.301E-6	54.736	1.000	2.000	2.000	553.075	143.779	0.000	0.501
8	8	0.377	1.013	15.491	0.500	286.139	147.704	0.250	0.647	0.373	0.000	45.000	-0.000	-0.000	1.732	Infinity	Infinity	285.555	147.286	0.000	0.501
9	9	0.126	0.377	33.374	0.500	597.411	156.053	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	597.161	155.803	0.000	0.501
10	10	0.251	0.708	20.152	0.500	501.224	169.830	0.250	0.560	0.000	0.000	0.000	0.000	-0.000	Infinity	Infinity	NaN	500.974	169.329	0.000	0.501
11	11	3.772	12.126	0.902	0.500	364.024	175.691	1.035	1.525	1.251	0.600	61.174	-18.767	92.498	1.220	2.541	2.083	363.707	175.341	0.000	0.668
12	12	0.503	1.581	7.232	0.500	435.221	178.347	0.376	0.732	0.396	0.303	-54.736	35.264	-125.264	1.848	2.414	1.307	434.845	177.846	0.000	0.501
13	13	0.377	1.318	7.036	0.500	408.043	178.764	0.417	0.647	0.373	0.000	90.000	35.264	-90.000	1.732	Infinity	Infinity	407.793	178.347	0.000	0.501
14	14	98.448	94.745	1.289	1.000	139.217	183.037	1.306	4.547	3.500	1.837	17.059	3.170	8.138	1.299	2.475	1.905	138.770	182.855	0.000	2.839
15	15	168.355	198.469	0.410	0.500	365.697	181.331	6.381	7.045	2.737	2.404	53.606	43.724	-70.545	2.574	2.931	1.138	365.210	181.352	6.513	2.171
16	16	0.126	0.377	33.374	0.500	303.340	197.634	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	303.089	197.384	0.000	0.501
17	17	4.023	9.567	2.091	0.500	244.585	200.170	0.470	2.653	0.763	0.555	59.815	1.430	-0.199	3.478	4.783	1.375	244.475	200.389	0.000	0.668
18	18	0.126	0.377	33.374	0.500	464.152	202.143	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	463.902	201.892	0.000	0.501
19	19	0.126	0.377	33.374	0.500	463.150	203.145	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	462.900	202.894	0.000	0.501
20	20	2.137	5.535	3.048	0.500	345.922	206.917	0.663	0.924	0.859	0.616	-90.000	-90.000	-180.000	1.075	1.499	1.394	345.672	206.902	0.000	0.668
21	21	1.383	4.495	2.382	0.500	397.750	209.339	0.524	1.122	0.863	0.527	34.187	-32.558	18.004	1.300	2.129	1.637	397.272	208.405	0.000	0.501
22	22	27.284	57.666	0.439	0.500	238.128	219.312	2.762	5.237	1.680	1.321	-84.384	-67.939	153.996	3.117	3.964	1.272	237.462	219.927	0.000	1.336
23	23	170.241	137.366	1.265	1.000	512.090	222.198	2.046	4.482	4.057	2.735	-13.616	-5.674	155.298	1.105	1.639	1.483	511.494	221.931	0.000	3.173
24	24	0.377	1.318	7.036	0.500	517.255	222.349	0.417	0.647	0.373	0.000	90.000	35.264	-90.000	1.732	Infinity	Infinity	517.005	221.931	0.000	0.501
25	25	236.753	281.900	0.283	0.000	473.169	232.528	7.705	7.348	4.264	2.560	-61.092	44.677	-129.755	1.723	2.870	1.666	472.418	233.454	10.019	2.171
26	26	305.276	244.909	0.718	2.000	405.735	239.824	3.770	6.817	4.557	2.721	-61.486	-30.223	111.855	1.496	2.506	1.675	406.791	237.962	4.509	2.672
27	27	0.126	0.377	33.374	0.500	160.562	237.712	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	160.312	237.462	0.000	0.501
28	28	528.953	460.673	0.324	1.000	320.482	238.710	10.851	8.956	4.693	3.946	8.698	-55.848	40.655	1.909	2.270	1.189	320.122	237.962	11.021	3.340
29	29	1.132	3.417	3.631	0.500	160.284	239.048	0.529	0.835	0.729	0.477	-135.000	-39.418	136.461	1.145	1.750	1.528	159.811	238.463	0.000	0.501
30	30	2.263	6.341	2.272	0.500	516.615	240.022	0.724	1.021	0.794	0.691	-39.076	33.880	40.668	1.285	1.478	1.150	516.003	239.465	0.000	0.501
31	31	290.189	184.793	1.509	3.000	597.526	244.934	1.975	5.891	4.736	2.834	-33.114	2.703	-177.058	1.244	2.078	1.671	597.161	244.475	0.000	4.175
32	32	1.635	3.875	5.192	0.500	263.339	241.103	0.366	1.188	0.740	0.442	-16.767	6.260	168.371	1.606	2.690	1.675	263.011	240.968	0.000	0.668
33	33	0.126	0.377	33.374	0.500	412.552	243.724	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	412.301	243.473	0.000	0.501
34	34	2.766	6.560	3.065	0.500	413.964	244.361	0.638	1.038	0.816	0.789	82.009	14.597	60.343	1.272	1.315	1.034	413.804	243.974	0.000	0.668
35	35	0.126	0.377	33.374	0.500	402.532	245.728	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	402.282	245.477	0.000	0.501
36	36	0.126	0.377	33.374	0.500	508.739	250.236	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	508.488	249.986	0.000	0.501
37	37	13.202	24.302	1.373	0.500	546.021	254.626	1.252	1.805	1.568	1.258	-62.958	37.906	-119.948	1.151	1.435	1.247	546.061	253.994	0.000	1.169
38	38	597.225	433.637	0.495	0.500	333.215	274.255	5.912	6.861	5.977	4.324	149.323	45.054	-20.888	1.148	1.587	1.382	333.147	274.033	6.012	3.841
39	39	1712.842	1111.530	0.242	-2.000	75.108	270.036	15.633	19.025	5.596	4.795	81.957	45.497	-71.151	3.400	3.968	1.167	75.146	269.524	19.538	3.841
40	40	876.475	389.327	1.472	0.500	151.495	275.839	3.152	7.183	7.110	4.712	94.808	17.076	-3.416	1.010	1.524	1.509	151.294	275.536	0.000	6.012
41	41	0.251	1.039	6.376	0.500	152.546	267.770	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	152.296	267.520	0.000	0.501
42	42	1044.830	650.428	0.449	2.000	236.165	271.456	11.387	12.527	5.243	4.173	17.752	49.267	-166.849	2.389	3.002	1.256	235.959	271.027	13.526	4.008
43	43	93.670	95.136	1.152	0.500	121.510	279.581	2.136	3.235	3.063	2.477	146.819	-25.475	45.568	1.056	1.306	1.237	121.236	279.543	0.501	2.338
44	44	0.126	0.377	33.374	0.500	144.531	277.790	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	144.280	277.539	0.000	0.501
45	45	1.006	2.795	5.238	0.500	279.481	278.917	0.438	0.748	0.560	0.514	82.173	-10.804	45.531	1.336	1.457	1.091	279.042	278.040	0.000	0.501
46	46	3.520	8.963	1.947	0.500	553.737	287.684	0.769	1.201	0.968	0.826	-0.909	4.212	-92.401	1.240	1.453	1.172	553.075	287.559	0.000	0.668
47	47	380.464	306.067	0.571	0.500	577.592	292.314	6.757	9.293	3.630	3.120	-38.262	-71.765	137.764	2.560	2.978	1.163	576.621	293.070	0.000	2.672
48	48	2.012	4.842	4.032	0.500	321.406	296.796	0.470	1.018	0.829	0.548	13.606	-2.622	-7.979	1.228	1.859	1.514	321.124	296.576	0.000	0.835
49	49	0.126	0.377	33.374	0.500	512.747	297.829	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	512.496	297.578	0.000	0.501
50	50	1.509	3.901	4.335	0.500	241.678	299.248	0.459	0.928	0.722	0.487	-32.551	-21.351	175.047	1.285	1.904	1.482	241.469	299.081	0.000	0.668
51	51	3.395	8.246	2.325	0.500	138.482	303.173	0.510	1.645	0.913	0.626	89.435	34.096	5.647	1.802	2.629	1.459	138.269	303.089	0.000	0.835
52	52	639.597	401.012	0.717	1.500	515.599	304.705	7.456	7.297	4.983	4.587	-55.681	-46.284	-33.736	1.464	1.591	1.086	515.001	304.592	7.515	4.342
53	53	1.383	3.623	4.549	0.500	327.204	303.932	0.387	0.945	0.871	0.464	-70.479	-21.128	-169.478	1.084	2.037	1.878	326.635	303.089	0.000	0.501
54	54	4.275	12.929	0.956	-0.500	560.442	304.341	1.031	1.650	1.187	0.664	-64.832	35.340	68.962	1.390	2.487	1.789	560.089	304.592	0.501	0.668
55	55	1.257	3.616	3.780	0.500	571.811	304.492	0.451	1.044	0.586	0.498	-31.804	9.581	-142.510	1.779	2.094	1.177	572.112	303.590	0.000	0.501
56	56	0.377	1.318	7.036	0.500	559.838	306.011	0.417	0.647	0.373	0.000	90.000	35.264	-90.000	1.732	Infinity	Infinity	559.588	305.594	0.000	0.501
57	57	152.261	185.858	0.408	-1.000	120.492	310.075	6.546	6.989	2.748	2.076	46.802	62.364	-74.507	2.543	3.366	1.324	119.733	309.602	5.010	2.004
58	58	0.126	0.377	33.374	0.500	120.484	308.850	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	120.234	308.600	0.000	0.501
59	59	19.363	28.365	1.858	0.500	570.043	322.149	0.761	2.618	1.925	1.116	66.377	-13.200	4.564	1.360	2.345	1.724	570.108	321.625	0.000	1.503
