 	Label	Volume	SurfaceArea	Sphericity	EulerNumber	Elli.Center.X	Elli.Center.Y	Elli.Center.Z	Elli.R1	Elli.R2	Elli.R3	Elli.Azim	Elli.Elev	Elli.Roll	Elli.R1/R2	Elli.R1/R3	Elli.R2/R3	InscrBall.Center.X	InscrBall.Center.Y	InscrBall.Center.Z	InscrBall.Radius
1	1	0.377	1.318	7.036	0.500	460.979	172.084	0.417	0.647	0.373	0.000	0.000	-45.000	90.000	1.732	Infinity	Infinity	460.395	171.834	0.000	0.501
2	2	1.635	4.996	2.423	0.500	392.628	204.378	0.597	1.104	0.664	0.549	41.690	-9.026	-89.281	1.662	2.010	1.210	391.761	203.896	0.000	0.501
3	3	0.251	0.708	20.152	0.500	364.458	206.401	0.250	0.560	0.000	0.000	0.000	0.000	-0.000	Infinity	Infinity	NaN	364.208	205.900	0.000	0.501
4	4	0.251	0.708	20.152	0.500	441.107	208.906	0.250	0.560	0.000	0.000	0.000	0.000	-0.000	Infinity	Infinity	NaN	440.857	208.405	0.000	0.501
5	5	0.251	1.039	6.376	0.500	452.630	220.178	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	452.379	219.927	0.000	0.501
6	6	0.126	0.377	33.374	0.500	219.677	237.211	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	219.426	236.961	0.000	0.501
7	7	0.880	2.584	5.078	0.500	545.596	241.505	0.465	0.599	0.599	0.453	-99.304	52.104	151.549	1.000	1.323	1.323	545.059	240.968	0.000	0.501
8	8	5.281	10.584	2.660	0.500	453.417	254.447	0.835	1.139	1.108	1.004	154.199	33.223	136.847	1.028	1.135	1.104	452.880	253.994	0.000	0.835
9	9	0.629	1.788	7.822	0.500	169.780	269.574	0.351	0.661	0.501	0.340	-45.000	36.093	180.000	1.319	1.946	1.475	169.329	269.023	0.000	0.501
10	10	0.377	1.318	7.036	0.500	250.904	275.786	0.417	0.647	0.373	0.000	0.000	45.000	-90.000	1.732	Infinity	Infinity	250.487	275.536	0.000	0.501
11	11	2.263	7.002	1.688	0.500	165.071	281.826	0.863	1.103	0.908	0.577	116.788	-62.236	-4.554	1.214	1.913	1.576	164.820	281.547	0.000	0.668
12	12	0.629	2.589	2.575	0.500	281.798	286.106	0.751	1.002	0.549	0.000	0.000	-45.000	-0.000	1.826	Infinity	Infinity	281.547	285.555	0.000	0.501
13	13	0.377	1.013	15.491	0.500	332.062	286.139	0.250	0.647	0.373	0.000	45.000	-0.000	-0.000	1.732	Infinity	Infinity	331.645	285.555	0.000	0.501
14	14	0.251	0.708	20.152	0.500	357.445	293.571	0.250	0.560	0.000	0.000	0.000	0.000	-0.000	Infinity	Infinity	NaN	357.194	293.070	0.000	0.501
15	15	0.629	2.098	4.842	0.500	477.979	305.644	0.451	0.708	0.569	0.279	1.378E-12	-35.901	-162.368	1.245	2.540	2.040	477.428	305.093	0.000	0.501
16	16	0.754	2.707	3.244	0.500	353.604	320.206	0.584	0.923	0.520	0.364	-70.166	72.468	-149.154	1.774	2.539	1.431	353.186	319.621	0.000	0.501
17	17	0.126	0.377	33.374	0.500	305.343	320.874	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	305.093	320.623	0.000	0.501
18	18	7.167	16.004	1.417	0.500	346.784	324.161	1.173	1.676	1.106	1.049	1.977	70.392	-84.737	1.514	1.597	1.054	346.674	324.130	0.501	0.835
19	19	1.006	3.080	3.914	0.500	580.190	326.196	0.501	0.829	0.560	0.464	22.211	16.139	-57.840	1.480	1.788	1.208	579.627	325.633	0.000	0.501
20	20	0.754	2.471	4.266	0.500	369.134	334.734	0.501	0.647	0.560	0.373	45.000	-0.000	90.000	1.155	1.732	1.500	368.717	334.149	0.000	0.501
21	21	0.126	0.377	33.374	0.500	458.140	339.410	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	457.890	339.159	0.000	0.501
22	22	0.126	0.377	33.374	0.500	458.641	339.911	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	458.391	339.660	0.000	0.501
23	23	0.251	1.039	6.376	0.500	611.438	346.924	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	611.188	346.674	0.000	0.501
24	24	1.760	5.099	2.643	1.000	447.548	349.608	0.644	0.921	0.831	0.607	62.105	-73.526	16.725	1.109	1.518	1.368	447.369	349.179	0.000	0.668
25	25	0.503	1.570	7.395	0.500	241.344	357.570	0.376	0.560	0.560	0.280	109.090	39.360	-47.258	1.000	2.000	2.000	240.968	357.194	0.000	0.501
26	26	1.132	2.961	5.579	0.500	184.664	359.727	0.417	0.845	0.561	0.491	10.198	-13.003	26.933	1.506	1.723	1.144	183.857	359.198	0.000	0.501
27	27	1.635	4.403	3.539	0.500	400.259	363.418	0.366	1.277	0.873	0.403	-23.415	-4.169	-162.572	1.462	3.168	2.166	399.276	362.705	0.000	0.501
28	28	3.269	6.848	3.763	0.500	525.541	419.527	0.520	1.214	0.979	0.635	-4.834	-0.961	-174.438	1.240	1.913	1.543	525.020	419.315	0.000	1.002
29	29	3.898	10.473	1.496	0.500	535.921	427.080	1.010	1.290	1.053	0.782	34.813	40.837	119.561	1.225	1.649	1.347	535.541	426.830	0.501	0.668
30	30	0.251	1.039	6.376	0.500	537.294	428.082	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	537.044	427.831	0.000	0.501
