Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
2393, 1,0.000932858, 0.000322775, 0.000248007, 54.1494, 18.7822, 0.00178284, 102.999, -24.4015, 0, 0.00107993, 0.00125494, 0.000977934, 72.8832, -17.3591, 0, 0.00107981, 0.000611487, 0.000484001, 35.464, -8.00578, 0, 0.00107964, -0.0539598, -19.8135, 71.9447, -0.0115511, -11.2614, 35.2903, -0.000275173, -0.00067673, 0.00123366, -0.000127086, -0.000127086, -0.000127086
2394, 1,0.000847714, 0.000268738, 0.000201076, 49.9577, 15.9282, 0.0016492, 97.3734, -25.8979, 0, 0.00104586, 0.00111528, 0.000837013, 65.7898, -17.402, 0, 0.00104572, 0.000581235, 0.000438306, 34.2142, -8.95903, 0, 0.00104558, -0.0211591, -13.444, 65.6711, 0.00760249, -7.32717, 34.1967, -0.000275108, -0.000553332, 0.00111084, -0.000141591, -0.000141591, -0.000141591
2395, 1,0.000855609, 0.000244547, 0.000184447, 50.1033, 14.4743, 0.0016905, 100.143, -27.4712, 0, 0.00101182, 0.00109793, 0.000820558, 64.3863, -17.3084, 0, 0.00101165, 0.000615079, 0.000457908, 35.9788, -9.81432, 0, 0.00101153, -0.171831, -12.2441, 64.3411, -0.102911, -6.3098, 35.8557, -0.000276556, -0.000536752, 0.00109413, -0.000157065, -0.000157065, -0.000157065
2396, 1,0.000974076, 0.000252199, 0.000200168, 55.6065, 14.531, 0.00193651, 112.645, -29.0409, 0, 0.000977802, 0.00122175, 0.000945787, 69.7593, -17.2814, 0, 0.000977616, 0.00072963, 0.000557729, 41.7348, -10.7746, 0, 0.000977512, -0.162407, -17.2547, 69.2614, -0.0817912, -9.3089, 41.7145, -0.000275437, -0.000643476, 0.00119924, -0.000171146, -0.000171146, -0.000171146
2397, 1,0.00084152, 0.000294472, 0.000233123, 47.8771, 16.8183, 0.00159477, 89.7053, -18.2973, 0, 0.00108, 0.00113551, 0.000917705, 64.66, -13.6558, 0, 0.00107992, 0.000548028, 0.000452899, 31.1296, -5.97972, 0, 0.00107979, -0.0684484, -21.714, 62.7499, -0.023198, -12.6033, 30.5657, -0.000217198, -0.000654774, 0.00109364, -9.54723E-05, -9.54723E-05, -9.54723E-05
2398, 1,0.000747168, 0.000238025, 0.000184123, 43.0977, 13.8338, 0.00145451, 83.9517, -20.1766, 0, 0.00104594, 0.000984181, 0.000766259, 56.8479, -13.6401, 0, 0.00104583, 0.000511094, 0.000400984, 29.4245, -6.90985, 0, 0.00104572, -0.0141063, -15.3072, 56.2417, 0.00720681, -8.65277, 29.3751, -0.000215827, -0.000530211, 0.000967392, -0.000109447, -0.000109447, -0.000109447
2399, 1,0.00075457, 0.000214539, 0.000168324, 43.1035, 12.4025, 0.00150205, 87.2108, -22.1195, 0, 0.00101189, 0.000966787, 0.000749835, 55.3137, -13.5395, 0, 0.00101175, 0.000544211, 0.000419684, 31.0528, -7.77482, 0, 0.00101165, -0.166928, -14.0876, 54.8732, -0.104479, -7.6117, 31.0406, -0.00021722, -0.000513771, 0.000950658, -0.000125106, -0.000125106, -0.000125106
2400, 1,0.0008828, 0.000226361, 0.00018815, 48.991, 12.6525, 0.00176817, 100.942, -24.1484, 0, 0.000977861, 0.00110394, 0.000887401, 61.2311, -13.5626, 0, 0.000977693, 0.000665357, 0.000525232, 37.0585, -8.78387, 0, 0.000977617, -0.181121, -19.083, 59.9521, -0.0962085, -10.5778, 37.0257, -0.000217349, -0.000621684, 0.00105902, -0.000140185, -0.000140185, -0.000140185
2401, 1,0.000758229, 0.000268018, 0.000220118, 41.9934, 14.9438, 0.00142921, 77.5463, -12.2743, 0, 0.00108009, 0.00102595, 0.000867442, 56.9129, -9.94578, 0, 0.00108005, 0.000490818, 0.000428087, 27.0979, -3.95086, 0, 0.00107994, -0.0833728, -23.6056, 53.5264, -0.035055, -13.9531, 25.8407, -0.000159126, -0.000632376, 0.000952967, -6.38206E-05, -6.38206E-05, -6.38206E-05
2402, 1,0.000655868, 0.000209827, 0.000169665, 36.6848, 11.8601, 0.00127545, 71.2911, -14.4782, 0, 0.00104601, 0.000864837, 0.000707103, 48.4729, -9.88448, 0, 0.00104593, 0.000447697, 0.000370288, 24.963, -4.86643, 0, 0.00104585, -0.0119248, -17.1708, 46.8362, 0.00473754, -9.98832, 24.5829, -0.00015675, -0.00050707, 0.000824234, -7.74397E-05, -7.74397E-05, -7.74397E-05
2403, 1,0.0006628, 0.000187629, 0.00015528, 36.5435, 10.4762, 0.00132534, 74.8457, -16.7921, 0, 0.00101194, 0.000847965, 0.000691235, 46.8247, -9.78068, 0, 0.00101183, 0.000479605, 0.000387563, 26.4245, -5.74481, 0, 0.00101176, -0.165283, -15.9327, 45.44, -0.106605, -8.92354, 26.2646, -0.000158119, -0.000490823, 0.000807615, -9.33159E-05, -9.33159E-05, -9.33159E-05
2404, 1,0.000799531, 0.000203788, 0.000179426, 42.7396, 10.9233, 0.00161117, 89.7665, -19.2622, 0, 0.000977925, 0.000997289, 0.000840229, 53.2138, -9.84042, 0, 0.000977775, 0.000606067, 0.000497727, 32.605, -6.79345, 0, 0.000977727, -0.198146, -20.9151, 50.6345, -0.109068, -11.8608, 32.3503, -0.000159178, -0.000599719, 0.000918482, -0.000109201, -0.000109201, -0.000109201
2405, 1,0.000684962, 0.000243866, 0.000209445, 36.5804, 13.1809, 0.00128974, 66.6499, -6.29267, 0, 0.00108016, 0.000928665, 0.00082955, 49.7455, -6.22969, 0, 0.00108016, 0.000441439, 0.000411142, 23.4307, -1.91996, 0, 0.00108009, -0.0973029, -25.4729, 44.2593, -0.0459637, -15.2988, 21.1046, -0.000100942, -0.000609275, 0.000811384, -3.21206E-05, -3.21206E-05, -3.21206E-05
2406, 1,0.000576592, 0.000184897, 0.000158461, 30.8464, 10.0437, 0.00111937, 59.7476, -8.81784, 0, 0.00104609, 0.000760764, 0.000663047, 40.8274, -6.1363, 0, 0.00104605, 0.000393099, 0.000348253, 20.9229, -2.8303, 0, 0.00104599, -0.0140226, -19.018, 37.4409, 0.000567491, -11.3203, 19.8106, -9.78853E-05, -0.000483613, 0.000681092, -4.55877E-05, -4.55877E-05, -4.55877E-05
2407, 1,0.000582982, 0.000164717, 0.000146218, 30.553, 8.73831, 0.00116628, 63.3124, -11.4654, 0, 0.00101203, 0.000745045, 0.000648366, 39.0925, -6.02923, 0, 0.00101194, 0.000423049, 0.000363355, 22.1807, -3.72185, 0, 0.0010119, -0.16776, -17.7676, 36.023, -0.110615, -10.2364, 21.5126, -9.92268E-05, -0.000467664, 0.00066469, -6.16822E-05, -6.16822E-05, -6.16822E-05
2408, 1,0.000726082, 0.00018509, 0.000174603, 36.9473, 9.37275, 0.00146633, 79.1201, -14.3299, 0, 0.000978, 0.000904253, 0.000806723, 45.8351, -6.11529, 0, 0.00097787, 0.000552908, 0.000476349, 28.4345, -4.80354, 0, 0.000977849, -0.214008, -22.7368, 41.2967, -0.121055, -13.1469, 27.6786, -0.00010094, -0.000577342, 0.00077742, -7.82108E-05, -7.82108E-05, -7.82108E-05
2409, 1,0.00062359, 0.000222496, 0.000201587, 31.7109, 11.5527, 0.00117915, 57.1452, -0.36606, 0, 0.00108025, 0.000845987, 0.000806376, 43.2533, -2.50675, 0, 0.00108028, 0.000401312, 0.000403491, 20.1783, 0.113513, 0, 0.00108024, -0.110627, -27.3008, 34.9317, -0.056244, -16.629, 16.3447, -4.26422E-05, -0.000585187, 0.000668587, -3.71277E-07, -3.71277E-07, -3.71277E-07
2410, 1,0.000512065, 0.00016404, 0.000151315, 25.7028, 8.42315, 0.000992229, 49.5915, -3.18802, 0, 0.00104616, 0.000675472, 0.000637628, 34.069, -2.39351, 0, 0.00104615, 0.000349254, 0.000336854, 17.3882, -0.799604, 0, 0.00104612, -0.0209074, -20.8362, 28.0376, -0.00590509, -12.6392, 15.0439, -3.92116E-05, -0.000459574, 0.000537648, -1.38744E-05, -1.38744E-05, -1.38744E-05
2411, 1,0.000517835, 0.000146641, 0.000141978, 25.2691, 7.22942, 0.00103047, 52.8752, -6.13382, 0, 0.0010121, 0.000661607, 0.000624815, 32.2954, -2.28488, 0, 0.00101203, 0.000376395, 0.000348914, 18.4163, -1.70589, 0, 0.00101202, -0.173861, -19.5777, 26.6062, -0.116066, -11.5387, 16.7725, -4.05281E-05, -0.00044401, 0.000521579, -3.01937E-05, -3.01937E-05, -3.01937E-05
2412, 1,0.000664115, -0.000177519, 0.000174105, 31.7066, -8.66282, 0.00133605, 69.11, -9.33361, 0, 0.000978066, 0.000827024, 0.000789078, 39.2154, -2.38676, 0, 0.000977956, 0.000506972, 0.000462194, 24.6092, -2.8137, 0, 0.000977963, -0.22877, -24.5346, 31.9237, -0.132201, -14.4254, 22.9987, -4.26284E-05, -0.000554293, 0.000635557, -4.72077E-05, -4.72077E-05, -4.72077E-05
2413, 1,0.000575526, 0.000204357, 0.000196994, 27.4357, 10.0805, 0.00109858, 49.0743, 5.50328, 0, 0.00108032, 0.00077979, 0.0007998, 37.5087, 1.22338, 0, 0.0010804, 0.000371378, 0.000406083, 17.3698, 2.14981, 0, 0.00108038, -0.122933, -29.0729, 25.5256, -0.0656241, -17.931, 11.5472, 1.57881E-05, -0.000559794, 0.000524237, 3.14365E-05, 3.14365E-05, 3.14365E-05
2414, 1,0.00046427, -0.000149863, 0.000148889, 21.3398, -7.20883, 0.000897951, 41.0023, 2.41097, 0, 0.00104625, 0.000611594, 0.000633484, 28.3141, 1.34368, 0, 0.00104627, 0.000317504, 0.000337437, 14.4151, 1.22547, 0, 0.00104627, -0.0317092, -22.6083, 18.609, -0.0139961, -13.932, 10.2696, 1.92865E-05, -0.000434632, 0.000393567, 1.77113E-05, 1.77113E-05, 1.77113E-05
2415, 1,0.000469337, -0.000152212, 0.000143055, 20.7948, -7.69531, 0.000922722, 43.7636, -0.789931, 0, 0.00101219, 0.000600158, 0.000623098, 26.5625, 1.45254, 0, 0.00101215, 0.000341058, 0.000345665, 15.2071, 0.303464, 0, 0.00101217, -0.183103, -21.3465, 17.172, -0.122674, -12.8182, 12.0305, 1.799E-05, -0.00041954, 0.000377945, 1.1614E-06, 1.1614E-06, 1.1614E-06
2416, 1,0.000614879, -0.000195405, 0.000178063, 27.094, -10.1344, 0.00122336, 59.8811, -4.26397, 0, 0.000978162, 0.000767107, 0.000788802, 33.4444, 1.34519, 0, 0.000978073, 0.000469171, 0.000456178, 21.1862, -0.823925, 0, 0.000978108, -0.242062, -26.2924, 22.4989, -0.1422, -15.684, 18.298, 1.57646E-05, -0.000530259, 0.000492573, -1.61845E-05, -1.61845E-05, -1.61845E-05
2417, 1,0.000541412, -0.000202231, 0.000196013, 23.7728, -9.94077, 0.00104695, 42.385, 11.3097, 0, 0.00108037, 0.000731092, 0.000810849, 32.5457, 4.9614, 0, 0.00108048, 0.000351871, 0.000419157, 15.0063, 4.18938, 0, 0.00108049, -0.134455, -30.7727, 16.023, -0.0742167, -19.192, 6.6981, 7.43563E-05, -0.000532777, 0.000377998, 6.33095E-05, 6.33095E-05, 6.33095E-05
2418, 1,0.000433709, -0.000166147, 0.000151486, 17.7754, -8.62458, 0.000837297, 34.0125, 7.97796, 0, 0.0010463, 0.000569933, 0.000651428, 23.5941, 5.07595, 0, 0.00104635, 0.00029805, 0.000350211, 12.0086, 3.24549, 0, 0.00104638, -0.0464744, -24.3183, 9.13692, -0.0237322, -15.1861, 5.47331, 7.76176E-05, -0.000408472, 0.000248514, 4.91774E-05, 4.91774E-05, 4.91774E-05
2419, 1,0.000438014, -0.000172362, 0.000149398, 17.1606, -9.28403, 0.000846, 36.122, 4.56779, 0, 0.00101223, 0.00056121, 0.000643732, 21.9235, 5.18352, 0, 0.00101222, 0.00031755, 0.000354125, 12.583, 2.30656, 0, 0.00101227, -0.195606, -23.0581, 7.70313, -0.130418, -14.0623, 7.27308, 7.63328E-05, -0.00039394, 0.000233462, 3.2389E-05, 3.2389E-05, 3.2389E-05
2420, 1,0.000578939, -0.000217581, 0.000186284, 23.1497, -11.8125, 0.00113118, 51.5779, 0.885361, 0, 0.000978206, 0.000724963, 0.000806367, 28.5578, 5.0815, 0, 0.00097814, 0.00044007, 0.000458875, 18.2058, 1.16649, 0, 0.000978202, -0.254252, -27.9948, 13.0045, -0.151253, -16.9109, 13.5627, 7.42462E-05, -0.00050493, 0.000348134, 1.48651E-05, 1.48651E-05, 1.48651E-05
2421, 1,0.000520961, -0.000218647, 0.000198812, 20.7038, -11.3729, 0.0010214, 36.9438, 17.0496, 0, 0.00108044, 0.000699808, 0.000839444, 28.3526, 8.70778, 0, 0.00108058, 0.000342272, 0.000442202, 13.0624, 6.23264, 0, 0.00108063, -0.144992, -32.3834, 6.40503, -0.081887, -20.3986, 1.78262, 0.00013307, -0.000503804, 0.000229521, 9.5253E-05, 9.5253E-05, 9.5253E-05
2422, 1,0.000419214, -0.000187263, 0.000158928, 14.9545, -10.2709, 0.000807578, 28.4976, 13.5092, 0, 0.00104637, 0.000549148, 0.000690124, 19.8446, 8.80388, 0, 0.00104645, 0.000289894, 0.000374184, 10.1221, 5.26094, 0, 0.00104651, -0.0655095, -25.9494, -0.39674, -0.0353629, -16.3883, 0.640895, 0.000135785, -0.000380767, 0.00010215, 8.05259E-05, 8.05259E-05, 8.05259E-05
2423, 1,0.000422726, -0.000197197, 0.000160441, 14.3109, -11.0977, 0.000800221, 29.95, 9.93818, 0, 0.00101231, 0.000543061, 0.000685019, 18.2961, 8.90861, 0, 0.00101233, 0.000305272, 0.000373699, 10.5155, 4.30384, 0, 0.0010124, -0.211606, -24.6958, -1.81846, -0.139493, -15.2583, 2.48624, 0.000134504, -0.000366885, 8.77908E-05, 6.34919E-05, 6.34919E-05, 6.34919E-05
2424, 1,0.000556032, -0.000243601, 0.000198318, 19.8681, -13.6777, 0.00106166, 44.3085, 6.1187, 0, 0.000978286, 0.000699908, 0.0008411, 24.5279, 8.82285, 0, 0.000978243, 0.000419762, 0.000470384, 15.6814, 3.15801, 0, 0.000978333, -0.265188, -29.625, 3.4216, -0.159231, -18.0932, 8.77837, 0.00013283, -0.000477967, 0.000201878, 4.59513E-05, 4.59513E-05, 4.59513E-05
2425, 1,0.0005131, -0.000238838, 0.00020535, 18.1806, -12.9864, 0.00101804, 32.5729, 22.7223, 0, 0.00108051, 0.000684832, 0.000884487, 24.8775, 12.463, 0, 0.00108069, 0.000341526, 0.000474168, 11.494, 8.28, 0, 0.00108076, -0.154783, -33.8868, -3.34729, -0.0888596, -21.5365, -3.21459, 0.000191934, -0.000472525, 7.84446E-05, 0.000127271, 0.000127271, 0.000127271
2426, 1,0.000418492, -0.000212642, 0.000170645, 12.7727, -12.1196, 0.000803786, 24.2304, 18.9962, 0, 0.00104645, 0.000546381, 0.000746713, 16.9341, 12.5275, 0, 0.00104656, 0.000291298, 0.00040762, 8.6779, 7.27185, 0, 0.00104665, -0.0887857, -27.4836, -10.01, -0.0489582, -17.5248, -4.24183, 0.000193789, -0.000351175, -4.58659E-05, 0.000111756, 0.000111756, 0.000111756
2427, 1,0.000421193, -0.00022588, 0.000175345, 12.1317, -13.0965, 0.000782329, 25.1063, 15.3145, 0, 0.0010124, 0.000542579, 0.000743835, 15.5252, 12.6283, 0, 0.00101244, 0.000302794, 0.000402962, 8.93165, 6.29573, 0, 0.00101254, -0.23126, -26.2424, -11.4112, -0.150071, -16.3928, -2.34434, 0.000192507, -0.00033804, -5.94148E-05, 9.44735E-05, 9.44735E-05, 9.44735E-05
2428, 1,0.000545196, -0.000272899, 0.000213599, 17.2008, -15.7037, 0.00101565, 38.1189, 11.4391, 0, 0.000978357, 0.000690366, 0.00089144, 21.2751, 12.5703, 0, 0.000978339, 0.000407871, 0.000490343, 13.5971, 5.15149, 0, 0.000978457, -0.274902, -31.166, -6.27002, -0.166155, -19.2178, 3.92948, 0.000191532, -0.000449024, 5.34245E-05, 7.70874E-05, 7.70874E-05, 7.70874E-05
2429, 1,0.000516278, -0.000262566, 0.000215388, 16.1373, -14.7684, 0.0010331, 29.1092, 28.3171, 0, 0.00108057, 0.000684371, 0.000944197, 22.0412, 16.2279, 0, 0.00108078, 0.000348332, 0.000513766, 10.2484, 10.3323, 0, 0.00108088, -0.163657, -35.265, -13.2549, -0.0949992, -22.5913, -8.31058, 0.000250964, -0.000438582, -7.5619E-05, 0.000159378, 0.000159378, 0.000159378
2430, 1,0.000428888, -0.000241529, 0.000185881, 11.1105, -14.1343, 0.000820175, 20.9596, 24.4164, 0, 0.00104651, 0.000558232, 0.000817803, 14.7075, 16.2473, 0, 0.00104665, 0.000300347, 0.000448604, 7.59078, 9.27863, 0, 0.00104677, -0.116365, -28.9039, -19.7217, -0.064505, -18.5817, -9.18967, 0.000251637, -0.000319371, -0.000195878, 0.000142875, 0.000142875, 0.000142875
2431, 1,0.000430777, -0.000257562, 0.000193262, 10.4917, -15.2399, 0.000787536, 21.3779, 20.673, 0, 0.00101246, 0.00055626, 0.000816679, 13.4381, 16.3428, 0, 0.00101253, 0.000308357, 0.000440157, 7.74246, 8.2823, 0, 0.00101266, -0.253953, -27.6815, -21.0928, -0.161602, -17.4529, -7.2324, 0.000250361, -0.000307089, -0.000208493, 0.000125348, 0.000125348, 0.000125348
2432, 1,0.000545031, -0.000304902, 0.000231553, 15.0724, -17.8633, 0.000992918, 33.0048, 16.8384, 0, 0.00097842, 0.000694293, 0.000955365, 18.6918, 16.3252, 0, 0.000978428, 0.000403667, 0.000518039, 11.9129, 7.1481, 0, 0.000978573, -0.283156, -32.6018, -16.0906, -0.171837, -20.2724, -1.00008, 0.000250381, -0.000417765, -9.76124E-05, 0.000108297, 0.000108297, 0.000108297
2433, 1,0.00052881, -0.000289465, 0.000228561, 14.5038, -16.7004, 0.00106284, 26.3754, 33.8443, 0, 0.00108063, 0.000696357, 0.00101652, 19.7551, 20.0023, 0, 0.00108087, 0.000361404, 0.000559723, 9.27414, 12.3894, 0, 0.001081, -0.170167, -36.4976, -23.3393, -0.0989166, -23.5462, -13.523, 0.000310188, -0.000401583, -0.000233089, 0.000191599, 0.000191599, 0.000191599
2434, 1,0.000447978, -0.00027318, 0.000203892, 9.86124, -16.2792, 0.000850889, 18.4276, 29.7485, 0, 0.00104657, 0.000581543, 0.000900237, 13.0237, 19.9607, 0, 0.00104674, 0.000315337, 0.000495437, 6.78795, 11.2787, 0, 0.00104689, -0.143403, -30.1905, -29.5483, -0.0773822, -19.5437, -14.2152, 0.000309392, -0.000285023, -0.000348238, 0.000173942, 0.000173942, 0.000173942
2435, 1,0.00044905, -0.000291525, 0.00021347, 9.27341, -17.4928, 0.000810222, 18.5121, 25.9895, 0, 0.00101253, 0.000580943, 0.000900412, 11.8824, 20.0507, 0, 0.00101263, 0.000320276, 0.000483619, 6.86555, 10.2622, 0, 0.00101279, -0.275449, -28.9963, -30.8804, -0.170081, -18.4257, -12.1908, 0.00030814, -0.000273743, -0.000359785, 0.000156185, 0.000156185, 0.000156185
2436, 1,0.000554002, -0.000339106, 0.000251674, 13.3991, -20.1323, 0.000992269, 28.9184, 22.3022, 0, 0.000978504, 0.000709578, 0.0010308, 16.6661, 20.0886, 0, 0.000978539, 0.000406236, 0.000552585, 10.5768, 9.14872, 0, 0.000978713, -0.288343, -33.9163, -26.0612, -0.174938, -21.2445, -6.02676, 0.00030943, -0.000383856, -0.000251637, 0.000139626, 0.000139626, 0.000139626
2437, 1,0.000549046, -0.000319112, 0.000244443, 13.207, -18.7616, 0.00110574, 24.3288, 39.2786, 0, 0.00108069, 0.0007187, 0.00109942, 17.9257, 23.7878, 0, 0.00108097, 0.000379542, 0.000610892, 8.51828, 14.4525, 0, 0.00108113, -0.169926, -37.5687, -33.6248, -0.0962727, -24.3887, -18.8726, 0.000369724, -0.000361183, -0.000394451, 0.000224052, 0.000224052, 0.000224052
2438, 1,0.00047367, -0.000306955, 0.000224038, 8.93384, -18.5235, 0.000890888, 16.4021, 34.9891, 0, 0.00104665, 0.000613594, 0.000991376, 11.7621, 23.6646, 0, 0.00104684, 0.000334795, 0.000546724, 6.20683, 13.2693, 0, 0.00104702, -0.156899, -31.3273, -39.5096, -0.0750569, -20.3984, -19.3344, 0.000367282, -0.000247874, -0.000503378, 0.000205177, 0.000205177, 0.000205177
2439, 1,0.000473993, -0.000327213, 0.000235415, 8.38373, -19.8285, 0.000845817, 16.3014, 31.2481, 0, 0.0010126, 0.00061405, 0.000992519, 10.7382, 23.7484, 0, 0.00101272, 0.000337096, 0.000531953, 6.23424, 12.2319, 0, 0.00101291, -0.282697, -30.1691, -40.7934, -0.163571, -19.2973, -17.2348, 0.000366067, -0.000237736, -0.00051372, 0.000187186, 0.000187186, 0.000187186
2440, 1,0.000570713, -0.000375114, 0.000273558, 12.1039, -22.4912, 0.00101415, 25.9091, 27.7895, 0, 0.000978578, 0.000734372, 0.00111593, 15.0993, 23.8603, 0, 0.000978641, 0.00041468, 0.000593124, 9.53618, 11.1525, 0, 0.000978842, -0.285218, -35.0932, -36.2025, -0.170694, -22.1205, -11.1664, 0.000368791, -0.00034696, -0.000409096, 0.000171166, 0.000171166, 0.000171166
2441, 1,0.000575609, -0.000351104, 0.000262631, 12.1861, -20.9321, 0.0011504, 22.1778, 44.9841, 0, 0.00108075, 0.00074962, 0.00119113, 16.4728, 27.5746, 0, 0.00108106, 0.000401768, 0.000666307, 7.93849, 16.5122, 0, 0.00108125, -0.148355, -38.4619, -44.1136, -0.072637, -25.1056, -24.3583, 0.000429723, -0.000317247, -0.000559833, 0.000256884, 0.000256884, 0.000256884
2442, 1,0.000504771, -0.000342344, 0.000245809, 8.28991, -20.8421, 0.000926463, 13.9416, 40.5437, 0, 0.00104671, 0.000652693, 0.00108967, 10.861, 27.3372, 0, 0.00104694, 0.000358023, 0.000601907, 5.83134, 15.2298, 0, 0.00104714, -0.108226, -32.2719, -49.6315, -0.0113761, -21.1119, -24.5661, 0.000425994, -0.000207525, -0.000662032, 0.000237237, 0.000237237, 0.000237237
2443, 1,0.000504419, -0.000364232, 0.000258694, 7.78024, -22.227, 0.000884352, 14.0131, 36.7993, 0, 0.00101267, 0.00065398, 0.00109152, 9.94372, 27.4168, 0, 0.00101283, 0.000358051, 0.000584497, 5.82544, 14.1728, 0, 0.00101305, -0.234104, -31.1666, -50.8496, -0.103586, -20.0391, -22.3756, 0.000424727, -0.000198794, -0.000670847, 0.000218879, 0.000218879, 0.000218879
2444, 1,0.00059404, -0.000412644, 0.000296911, 11.1195, -24.9264, 0.00105569, 23.6615, 33.5425, 0, 0.000978653, 0.000767216, 0.00120937, 13.9082, 27.639, 0, 0.000978747, 0.000428241, 0.000638921, 8.74117, 13.1572, 0, 0.000978977, -0.267134, -36.1179, -46.532, -0.15396, -22.8855, -16.4323, 0.000428593, -0.000306794, -0.00057038, 0.000202999, 0.000202999, 0.000202999
2445, 1,0.000608073, -0.000385125, 0.000282814, 11.4042, -23.1949, 0.00118701, 19.5843, 50.8403, 0, 0.0010808, 0.000788382, 0.00129078, 15.3446, 31.3368, 0, 0.00108115, 0.000427959, 0.000725732, 7.51301, 18.5447, 0, 0.00108137, -0.079405, -39.1852, -54.7459, -0.00428999, -25.7087, -29.9212, 0.00049033, -0.000270424, -0.000728311, 0.000290222, 0.000290222, 0.000290222
2446, 1,0.00054009, -0.000378922, 0.000268769, 7.8382, -23.2121, 0.000935226, 9.91377, 46.5613, 0, 0.00104677, 0.000697229, 0.00119423, 10.2098, 30.9985, 0, 0.00104704, 0.000384216, 0.000660882, 5.58704, 17.1826, 0, 0.00104727, 0.0407327, -32.9938, -60.0426, 0.145735, -21.6586, -30.035, 0.000486645, -0.000163428, -0.000826191, 0.000271146, 0.000271146, 0.000271146
2447, 1,0.000540246, -0.000402288, 0.000282997, 7.44216, -24.672, 0.000907503, 10.5604, 42.9629, 0, 0.00101274, 0.000700335, 0.00119748, 9.46334, 31.0546, 0, 0.00101293, 0.000383356, 0.000641888, 5.63079, 16.0849, 0, 0.00101318, -0.0757093, -31.9251, -61.1629, 0.0560262, -20.5932, -27.7175, 0.000485235, -0.000155986, -0.000833192, 0.000252234, 0.000252234, 0.000252234
2448, 1,0.000623907, -0.000451574, 0.000321589, 10.4242, -27.4307, 0.0011091, 21.5441, 39.9204, 0, 0.000978719, 0.000807823, 0.00131073, 13.0601, 31.3956, 0, 0.000978854, 0.000447104, 0.000690037, 8.18221, 15.1322, 0, 0.000979113, -0.194999, -36.9695, -57.0224, -0.0891294, -23.5136, -21.7938, 0.000489202, -0.000263457, -0.000735282, 0.000235391, 0.000235391, 0.000235391
2449, 1,0.000648, -0.000420686, 0.000304478, 10.924, -25.529, 0.00131323, 23.0183, 54.3596, 0, 0.0010809, 0.000836023, 0.00139864, 14.5797, 35.0023, 0, 0.00108124, 0.00046019, 0.000790433, 7.32787, 20.4752, 0, 0.00108149, 0.0696305, -39.6038, -65.4727, 0.140724, -26.0608, -35.5056, 0.00055112, -0.000217927, -0.000901076, 0.000323583, 0.000323583, 0.000323583
2450, 1,0.000578435, -0.000416271, 0.000292457, 7.50889, -25.6118, 0.000975554, 8.56742, 51.0111, 0, 0.00104685, 0.000745608, 0.00130388, 9.72084, 34.6036, 0, 0.00104712, 0.000412493, 0.000723162, 5.41685, 19.0851, 0, 0.00104739, 0.394786, -33.3476, -70.8579, 0.488837, -21.8895, -35.8547, 0.000550751, -0.000112999, -0.000999224, 0.000308196, 0.000308196, 0.000308196
