Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
11, 1,0.0261129, 0.00403945, 0.00282263, 362.679, 118.102, 0.07881, 917.676, -311.943, 1, 0.00103583, 0.0301091, 0.0225043, 480.604, -178.353, 0.444732, 0.00102798, 0.0221312, 0.0169584, 244.929, -94.1778, 0.382065, 0.00102603, 46.1735, 39.8944, 448.992, 30.9168, 26.7818, 224.835, -0.0113611, -0.0122813, 0.0274913, -0.00840013, -0.00840013, -0.00840013
12, 1,0.0285553, 0.00420545, 0.00295228, 355.893, 117.46, 0.0809935, 978.644, -332.176, 1, 0.0010708, 0.0327312, 0.0239852, 473.245, -164.218, 0.490521, 0.00106171, 0.0243888, 0.0181815, 238.646, -82.2651, 0.423873, 0.00105967, 12.067, 29.7743, 450.813, 6.44026, 15.7285, 224.627, -0.0143, -0.0127988, 0.0307673, -0.0109543, -0.0109543, -0.0109543
13, 1,0.0119354, 0.0023194, 0.00158778, 349.087, 114.757, 0.0680748, 614.176, -205.401, 1, 0.000964704, 0.014247, 0.0102008, 463.656, -155.59, 0.136779, 0.000960076, 0.00962727, 0.00705955, 234.699, -78.53, 0.122114, 0.000958766, -2.08535, 35.4956, 433.359, -1.33088, 21.7789, 215.142, -0.00592225, -0.00458355, 0.0132389, -0.004231, -0.004231, -0.004231
14, 1,0.0138767, 0.00279288, 0.00194297, 352.385, 115.898, 0.0723285, 734.275, -247.674, 1, 0.000998885, 0.0166552, 0.0119287, 468.015, -160.823, 0.184739, 0.000992726, 0.011105, 0.00815152, 237.018, -83.441, 0.154483, 0.00099131, 12.9899, 44.6316, 424.846, 12.3281, 28.7284, 209.266, -0.00661548, -0.0053382, 0.0148631, -0.00445096, -0.00445096, -0.00445096
15, 1,0.0160069, 0.00318214, 0.00221164, 350.578, 116.368, 0.0753915, 819.67, -276.741, 1, 0.00103315, 0.0191698, 0.013786, 466.678, -157.172, 0.233343, 0.00102571, 0.0128529, 0.00945167, 234.739, -79.4315, 0.190301, 0.00102418, 7.87337, 40.4183, 423.224, 6.57098, 24.837, 206.887, -0.00783297, -0.00628734, 0.0170523, -0.00535137, -0.00535137, -0.00535137
16, 1,0.0179982, 0.0033877, 0.0023718, 352.543, 116.628, 0.0775547, 876.79, -292.531, 1, 0.00106676, 0.0213755, 0.0155346, 469.044, -160.331, 0.275466, 0.00105861, 0.0146255, 0.0108388, 236.169, -81.3278, 0.225586, 0.00105696, 3.62002, 37.4238, 439.95, 3.2454, 22.4829, 218.255, -0.00930785, -0.00744389, 0.0198256, -0.00660178, -0.00660178, -0.00660178
17, 1,0.00852515, 0.00189417, 0.00127867, 348.306, 111.813, 0.0658176, 551.844, -185.022, 1, 0.000961167, 0.0104126, 0.00721198, 459.709, -151.715, 0.0613379, 0.000957096, 0.00664132, 0.00467777, 237.293, -79.506, 0.0595015, 0.000955935, -2.37317, 33.8124, 423.706, 1.34052, 25.176, 212.001, -0.00394228, -0.00313467, 0.00962587, -0.00262724, -0.00262724, -0.00262724
18, 1,0.00983259, 0.0022305, 0.0015374, 345.515, 114.386, 0.0695412, 654.334, -217.75, 1, 0.000995599, 0.0120523, 0.00854543, 459.42, -148.899, 0.0940996, 0.000990193, 0.00761893, 0.00548855, 232.083, -75.0398, 0.0819236, 0.000988932, -11.4888, 48.0815, 410.103, -5.3739, 31.926, 198.567, -0.00497653, -0.00317529, 0.0107017, -0.00329765, -0.00329765, -0.00329765
19, 1,0.0104818, 0.00254758, 0.00176445, 346.951, 115.664, 0.0715656, 712.545, -239.121, 1, 0.00102935, 0.0130236, 0.00919669, 462.278, -152.032, 0.113243, 0.00102304, 0.00794355, 0.00568801, 231.963, -76.8961, 0.0891842, 0.00102169, -5.2339, 47.3286, 414.002, -0.868918, 30.7636, 200.794, -0.00531709, -0.00361789, 0.0115682, -0.00335475, -0.00335475, -0.00335475
20, 1,0.0122612, 0.00282713, 0.00196131, 351.33, 116.494, 0.0736197, 768.464, -257.024, 1, 0.0010624, 0.0150868, 0.0107269, 467.686, -160.041, 0.153736, 0.00105542, 0.00943657, 0.0068205, 235.113, -81.935, 0.119516, 0.00105392, 3.33852, 43.3147, 433.468, 3.96536, 27.5676, 214.272, -0.00627112, -0.00478584, 0.0138974, -0.00408118, -0.00408118, -0.00408118
21, 1,0.00714501, 0.00169877, 0.00114116, 340.724, 104.17, 0.0599703, 504.397, -181.876, 0.94498, 0.000957534, 0.00884058, 0.00605464, 444.418, -147.935, 0.0348735, 0.000953907, 0.00545136, 0.00377728, 237.452, -79.4217, 0.0340293, 0.000952825, -2.07486, 36.7087, 409.17, -0.296758, 27.083, 211.479, -0.00323795, -0.00251677, 0.00820277, -0.00207724, -0.00207724, -0.00207724
22, 1,0.00743821, 0.00187705, 0.00127321, 347.636, 112.194, 0.0656176, 569.433, -211.801, 1, 0.000992107, 0.00930983, 0.00640789, 459.148, -150.868, 0.0395706, 0.000986889, 0.00557011, 0.00387145, 236.784, -79.4877, 0.0378839, 0.000985719, -5.76633, 49.1703, 409.199, 0.490751, 37.041, 200.931, -0.00348871, -0.00236375, 0.00835569, -0.00215375, -0.00215375, -0.00215375
23, 1,0.00858018, 0.00211922, 0.00144474, 345.903, 114.546, 0.0678297, 614.455, -211.07, 1, 0.00102503, 0.0106948, 0.0074681, 459.972, -150.162, 0.0671494, 0.0010197, 0.00646841, 0.00458574, 232.307, -75.9422, 0.057762, 0.00101841, -8.44804, 50.038, 408.896, -4.04022, 33.9526, 197.914, -0.00422683, -0.00275734, 0.00951555, -0.00268705, -0.00268705, -0.00268705
24, 1,0.0094147, 0.00239909, 0.00164285, 346.415, 116.29, 0.0693958, 645.497, -210.403, 1, 0.00105737, 0.0118125, 0.00826688, 462.417, -152.777, 0.0894777, 0.00105197, 0.00701782, 0.00498441, 230.699, -75.3657, 0.0697268, 0.00105057, -4.54538, 42.0647, 420.812, -3.73779, 26.0579, 203.777, -0.0047163, -0.00342989, 0.0107554, -0.00294309, -0.00294309, -0.00294309
25, 1,0.00534323, 0.00153015, 0.00102484, 320.595, 96.1009, 0.0429688, 486.26, -164.853, 0.668125, 0.000952641, 0.00687232, 0.00464319, 416.093, -132.776, 0.00272653, 0.000950635, 0.00381499, 0.00259722, 225.6, -69.4899, 0.00200508, 0.000949658, -11.1256, 30.3524, 379.101, -10.2508, 21.6401, 197.08, -0.00239693, -0.00176756, 0.00632227, -0.00136335, -0.00136335, -0.00136335
26, 1,0.00653901, 0.0017046, 0.00114496, 340.293, 104.832, 0.0505098, 505.832, -194.184, 0.801124, 0.000986747, 0.00823734, 0.00562045, 444.316, -148.061, 0.0224623, 0.00098353, 0.004845, 0.0033487, 237, -79.6908, 0.0216077, 0.000982425, -4.1659, 51.9111, 396.438, -1.65042, 39.9907, 200.732, -0.00299067, -0.00194557, 0.00736925, -0.00182915, -0.00182915, -0.00182915
27, 1,0.00731879, 0.00185681, 0.00124743, 347.064, 112.289, 0.0584645, 522.925, -215.293, 0.927671, 0.00102084, 0.0091686, 0.0062963, 458.64, -150.3, 0.0363202, 0.001016, 0.00547357, 0.00382539, 236.171, -77.9454, 0.0351053, 0.00101479, -4.61825, 49.699, 405.818, -0.992799, 36.5728, 198.256, -0.0033553, -0.00228836, 0.00813289, -0.00207997, -0.00207997, -0.00207997
28, 1,0.00830656, 0.00206436, 0.00139154, 349.844, 114.898, 0.064035, 527.171, -202.028, 1, 0.00105338, 0.0103675, 0.00716485, 464.301, -157.577, 0.0611394, 0.00104837, 0.00624779, 0.00438902, 235.83, -81.4941, 0.0533006, 0.00104702, 2.10235, 52.1839, 418.446, 2.84172, 36.773, 204.868, -0.00394088, -0.0027668, 0.00935484, -0.00250346, -0.00250346, -0.00250346
29, 1,0.00476668, 0.0013801, 0.000921511, 298.033, 87.537, 0.0259345, 478.811, -163.427, 0.358618, 0.000948676, 0.00614558, 0.00410814, 385.129, -128.049, 0, 0.000947502, 0.00338874, 0.0022685, 211.305, -70.3712, 0, 0.000946616, -1.14719, 33.9017, 351.391, -0.5596, 25.4859, 186.187, -0.00204409, -0.00148139, 0.00560326, -0.00112345, -0.00112345, -0.00112345
30, 1,0.00544215, 0.00155496, 0.00104074, 323.805, 97.1193, 0.0296294, 478.391, -161.397, 0.428774, 0.000981303, 0.00699343, 0.00474087, 420.249, -135.327, 0.00371334, 0.000980084, 0.00389378, 0.00267274, 227.929, -71.4784, 0.00296625, 0.000979067, -11.3444, 41.1897, 376.135, -10.3686, 30.3627, 194.441, -0.00246993, -0.00156274, 0.00623313, -0.00142463, -0.00142463, -0.00142463
